"sex","aage","AJBHRS","ancars","ahhsize","aqfedhi","arace","aregion","atenure","avote","afiyr"
2,51,6,"3","4","4","1","3","2","1",2471.3000488281
1,47,37,"2","2","6","1","6","2","3",17020.482421875
2,63,14,"1","2","12","1","17","3","2",3261.0283203125
2,60,30,"2","2","8","1","3","1","2",12832.779296875
1,16,40,"2","4","7","1","16","2","11",1037.1533203125
1,19,48,"1","3","4","1","17","6","2",10194.0224609375
2,29,36,"2","2","4","1","3","2","1",21488.31640625
1,22,37,"2","2","7","1","5","2","3",8916.177734375
1,44,70,"1","3","4","1","4","2","1",36060
1,35,42,"1","6","4","1","3","2","1",12364.849609375
1,27,40,"3","3","9","1","2","1","10",12224.8681640625
2,25,37,"1","4","7","1","11","2","1",10362.931640625
1,30,40,"0","2","12","1","17","2","2",11012.2001953125
1,17,7,"3","4","7","1","3","2","1",433.3930969238
1,57,40,"1","2","12","1","7","2","7",8320
1,34,56,"1","4","4","1","18","2","8",16872.93359375
